,text,class,prob
0,Congrats @sundarpichai well deserved! Proud moment.,pos,0.51
1,Congratulations @sundarpichai. My best wishes for the new role at @google.,pos,0.62
2,The choice is ultimately between diplomacy and war. Iran's nuclear program accelerates if Congress kills this deal.,pos,0.53
3,The movie #drive is seriously the worst movie I've ever seen.,neg,0.44
4,News of another attack in Kabul is very saddening. Such attacks are  unpardonable & deeply distressing. Condolences to families of deceased.,neg,0.46
5,it's good,pos,0.51
6,I am not liking it,neg,0.38
7,it's not bad,neg,0.19
8,these persons are so called nefarious,neg,0.48
9,hello dear,pos,0.76
10,I am ok ok,pos,0.51
11,praise the lord!!,pos,0.79
12,please stop!!!!,neg,0.47
13,#$#@^!(!,pos,0.7
14,I am loving it,pos,0.59
